Date,Payee,Category,Memo,Outflow,Inflow
03/07/2017,Eletrônicos Rodoviária Novo Rio,Hobbies: Gadgets,,30.0,
03/07/2017,Ticket Metrô,Transporte: Público,,100.0,
03/07/2017,Conveniência Graal,Alimentação: Comer fora de casa,,7.2,
03/07/2017,Blue Pub,Alimentação: Comer fora de casa,,107.7,
03/07/2017,Transfer : [Dinheiro]  Carteira,,,50.0,
03/07/2017,INT PAG TIT BANCO 422   ,,,45.3,
03/07/2017,CARTAO PERSONNALITE     ,,,1497.48,
03/07/2017,CARTAO PERSONNALITE     ,,,61.87,
03/07/2017,Rendimento,,,,0.15
04/07/2017,Transfer : [Dividas] Daniel,,Luz 07/2017,115.02,
04/07/2017,Eletropaulo,Recorrentes: Contas Variáveis,,115.03,
04/07/2017,Rendimento,,,,0.02
05/07/2017,Academia de jogos,Hobbies: Dentro de casa,,70.0,
05/07/2017,Academia de jogos,Hobbies: Dentro de casa,,32.5,
05/07/2017,Lamen Açu,Alimentação: Comer fora de casa,,27.0,
05/07/2017,Rendimento,,,,0.01
06/07/2017,TBI 2949.10246-7     C/C,,,145.0,
06/07/2017,Rendimento,,,,0.02
07/07/2017,DOC INT 609055          ,,,48.0,
07/07/2017,IOF,Recorrentes: Impostos,,105.32,
07/07/2017,Compra de moeda estrangeira,Planos Futuros: Férias,,9574.76,
07/07/2017,Rendimento,,,,0.16
10/07/2017,Transfer : [Dinheiro]  Carteira,,,50.0,
10/07/2017,RSHOP-PAGSEGUROUO-09/07 ,,,7.0,
10/07/2017,TEC DEPOSITO DINHEIRO   ,,,,5680.08
10/07/2017,TED 001.0295JULIANA GARC,,,,4000.0
17/07/2017,Transfer : [Dinheiro]  Carteira,,,50.0,
17/07/2017,Bao Hut,Alimentação: Comer fora de casa,,44.0,
17/07/2017,Caixote Augusta,Alimentação: Comer fora de casa,,40.0,
17/07/2017,Caixote Augusta,Alimentação: Comer fora de casa,,25.0,
17/07/2017,Caixote Augusta,Alimentação: Comer fora de casa,,53.0,
17/07/2017,Caixote Augusta,Alimentação: Comer fora de casa,,10.9,
17/07/2017,RSHOP-PAGSEGUROUO-15/07 ,,,5.0,
