Date,Payee,Category,Memo,Outflow,Inflow
31/01/2018,O Gaiteiro,Alimentação: Comer no trabalho,,30.00,
30/01/2018,Escola de Música,Alimentação: Comer no trabalho,,29.00,
29/01/2018,Komezushi,Alimentação: Comer no trabalho,,31.48,
28/01/2018,Osnir,Alimentação: Comer fora de casa,,24.42,
26/01/2018,Salário,,,,737.00
26/01/2018,La Parrilla,Alimentação: Comer no trabalho,,69.63,
26/01/2018,Pizzaria Olé,Alimentação: Comer fora de casa,,41.90,
24/01/2018,Novo Mit,Alimentação: Comer no trabalho,,31.00,
24/01/2018,Cantina Itaú,Alimentação: Comer no trabalho,,4.95,
23/01/2018,Monte Grappa,Alimentação: Comer no trabalho,,37.29,
23/01/2018,Cantina Itaú,Alimentação: Comer no trabalho,,12.15,
22/01/2018,Novo Mit,Alimentação: Comer no trabalho,,36.00,
21/01/2018,Divino Fogão,Alimentação: Comer fora de casa,,26.44,
19/01/2018,Komezushi,Alimentação: Comer no trabalho,,44.90,
18/01/2018,O Gaiteiro,Alimentação: Comer no trabalho,,26.50,
17/01/2018,Coquinha,Alimentação: Comer no trabalho,,28.52,
16/01/2018,Escola de Música,Alimentação: Comer no trabalho,,28.00,
15/01/2018,Marach,Alimentação: Comer no trabalho,,39.33,
12/01/2018,O Gaiteiro,Alimentação: Comer no trabalho,,28.50,
11/01/2018,Mestre das Batidas,Alimentação: Comer no trabalho,,29.95,
10/01/2018,Yumn,Alimentação: Comer no trabalho,,34.82,
09/01/2018,O Gaiteiro,Alimentação: Comer no trabalho,,28.00,
08/01/2018,Cantina Itaú,Alimentação: Comer no trabalho,,30.02,
08/01/2018,Cantina Itaú,Alimentação: Comer no trabalho,,3.65,
05/01/2018,Kebab Paris,Alimentação: Comer fora de casa,,30.80,
04/01/2018,Rockabilly Lanches,Alimentação: Comer fora de casa,,23.90,
03/01/2018,Pizzaria Olé,Alimentação: Comer fora de casa,,45.50,
03/01/2018,Z Deli,Alimentação: Comer fora de casa,,43.51,
02/01/2018,Rinconcito peruano,,,45.39,
02/01/2018,Ragazzo,Alimentação: Comer fora de casa,,16.80,
02/01/2018,Salada Record,Alimentação: Comer fora de casa,,12.70,
02/01/2018,Point Augusta Lanches,Alimentação: Comer fora de casa,,7.50,
